,word,log_odds,frequency
3168,the,15.047004638994647,2941
3181,of,6.382370326356031,1588
5061,with,6.113952460694612,453
697,house,5.554706651189872,44
4386,and,5.1069088753192435,1719
2965,up,5.016458242350711,120
6358,three,4.863483962709612,43
344,a,4.543889821797246,1113
6941,had,4.469231328708773,504
3384,two,4.430870927364034,67
1603,room,4.089514752973798,37
527,were,3.9870066804149067,244
4679,black,3.97569210497496,25
7482,along,3.83313004443763,19
3786,in,3.805744500913115,838
4559,through,3.710348829252746,48
200,place,3.6879761380938536,37
6009,behind,3.679455671321996,23
1178,light,3.637921579207515,20
2053,gatsby,3.5692903011290107,16
5540,white,3.5519794902475126,25
5100,into,3.5013066439771463,120
222,wind,3.4672938058190406,15
671,down,3.432370188964713,72
1894,air,3.385667113985292,24
514,river,3.3531843365954557,14
6466,certain,3.353137850237052,21
4554,was,3.320299349662628,698
5147,hour,3.3166335449133215,18
2504,door,3.2896317423688517,29
3255,seemed,3.2552670341242305,63
6092,which,3.2075969292698314,227
1773,water,3.1033208692280185,12
4989,window,3.1016925618444326,12
190,red,3.0915503906679196,14
4008,arms,3.091158449856763,14
175,large,3.090645221669627,14
495,his,3.0702614377090445,477
3285,each,3.027829891617704,22
6088,arm,2.990552964089018,19
1095,idea,2.9573463537030866,11
1135,across,2.9564287554688184,11
3725,garden,2.956143174930166,11
5946,feet,2.9526023244013975,16
6095,on,2.946399995248221,342
5814,back,2.9332351949372666,48
6758,distance,2.908519834573569,13
6970,cut,2.9081947143385567,13
2130,known,2.907298685092292,13
2074,her,2.8601631567414767,462
5323,jurgis,2.838000137231163,21
780,day,2.8340105867510523,60
345,seven,2.7965047147854034,10
2090,plan,2.796347551384621,10
1889,fogg,2.793482762568127,18
7181,above,2.7923078267993575,18
2530,person,2.7499936321573184,15
5236,death,2.6922089713444417,23
1704,town,2.6921990594053495,23
4936,its,2.6793694960887406,98
6650,dark,2.635556554302527,20
4098,half,2.623291908096819,28
2223,game,2.6184294153000067,9
2796,flowers,2.618426647349942,9
1847,fingers,2.6184061718721905,9
7081,yellow,2.618405770157003,9
2820,stone,2.61840435967431,9
5548,picture,2.6184007007352483,9
4974,danger,2.6183881720735767,9
1304,caught,2.6183830177305656,9
1962,warm,2.6183825845214557,9
1990,slowly,2.6183615861474685,9
3564,went,2.5416457618226573,58
4304,pale,2.5336761987209266,14
7030,body,2.533644477974851,14
5136,grass,2.489853395851946,11
2729,followed,2.488509919595134,11
5597,clock,2.4880831865808837,11
107,past,2.487827693543441,11
3727,made,2.4342145659755614,84
2315,less,2.429794206148205,27
732,side,2.4184956809261804,19
1241,march,2.4174128487919857,8
5442,blow,2.4172427759140036,8
822,fix,2.4172063033794413,8
1407,conscious,2.4171866313043058,8
2240,spot,2.4171458085661497,8
917,beside,2.4170482811101763,8
5655,steps,2.4169273714594244,8
5846,raskolnikov,2.4165799828681873,8
6965,from,2.378120639112956,180
3453,put,2.3770455762653966,37
4734,saw,2.3724656732060554,47
4203,began,2.3104493171836062,29
301,sit,2.2980955300754924,13
1956,road,2.2978114852212026,13
5029,close,2.2975475141961472,13
6080,eyes,2.2941960183589134,49
7197,night,2.284317635011833,39
7112,sea,2.2721737550832755,21
5972,wife,2.2716268144660443,21
4501,at,2.25104303556321,375
2064,kurtz,2.2476221747806,10
6276,cottage,2.24718184892759,10
2973,nemo,2.2466504569916244,10
3504,island,2.246610416679206,10
5486,started,2.246326478783079,10
5636,walking,2.246271872202104,10
2799,sun,2.245237799063713,10
1531,opened,2.245052065374114,10
1114,high,2.243740687793592,10
2875,morning,2.225134672093969,26
291,got,2.2235033030906055,26
4718,ground,2.1938547138871507,18
3771,within,2.1934588345524837,18
151,cheeks,2.186295895904598,7
770,phileas,2.186269298699167,7
1199,clearly,2.1862293861515445,7
1682,start,2.1862134155113737,7
7205,hill,2.186186790644061,7
6,leaves,2.186082868548208,7
4429,various,2.1859681310091816,7
788,quarter,2.1858772921655154,7
3205,threw,2.185727452233563,7
6836,miles,2.185639024049953,7
745,blue,2.1855800186262284,7
4190,front,2.1855639188460683,7
6924,nautilus,2.1855612352415537,7
4159,sudden,2.18537047485727,7
4751,length,2.185322042848384,7
4320,passed,2.1371730484330036,23
4204,full,2.1139483975397035,15
5697,gave,2.112461147464991,15
993,evening,2.1108774462506825,28
346,till,2.110850157283974,28
2488,out,2.1018430451812535,147
5648,felt,2.1000217590903274,33
7345,rest,2.045993444397876,20
7472,near,2.045555211110992,20
4638,church,2.0412006685479254,12
1093,far,2.0130827936195304,25
5561,lamp,1.9752829895811086,9
1547,coat,1.9746516989321947,9
118,shut,1.9744119930729422,9
7113,moved,1.9740604493565215,9
3247,around,1.973844744079074,9
819,corner,1.9738247719372393,9
60,especially,1.9737209183581046,9
1508,rose,1.9731178206636457,9
5149,fine,1.9722233242188318,9
2666,lay,1.951203021034581,17
123,course,1.9500786777727108,17
1867,fog,1.91580764382866,6
5657,rings,1.9156698365720375,6
6497,grow,1.9152678437411512,6
1353,carefully,1.9151889549857803,6
4469,fancied,1.9151218824269034,6
4265,leaning,1.9150429534255378,6
2401,nine,1.9149442616510142,6
1998,bank,1.914853435316614,6
3900,walls,1.9148336866744673,6
4136,born,1.9148139366809973,6
5699,touch,1.9148139366809973,6
3652,gray,1.914798135713614,6
1559,quietly,1.914727020668971,6
6318,summer,1.9147112149514016,6
4870,vast,1.9146637926228027,6
2148,bottom,1.9145847381711394,6
57,eight,1.9143434893273794,6
4206,dress,1.913923796603044,6
2611,obliged,1.9138167981706296,6
5330,glass,1.9135947523860206,6
2837,cries,1.9133526927360411,6
7258,appeared,1.85497412072176,14
4300,took,1.8353417434809984,39
2227,mrs,1.8334182894956355,39
1813,these,1.822841844792783,51
6839,looked,1.7606774625835235,53
7137,train,1.7598110870327655,11
423,play,1.7592680833027585,11
4616,showed,1.7592645580708635,11
508,beyond,1.7586830302312995,11
6065,struck,1.7585350479486341,11
5822,hair,1.7578376521418337,11
5377,making,1.756486231946008,11
7216,part,1.690948836257002,16
4480,however,1.6816725719089036,26
5492,else,1.6764336833124927,21
4252,hands,1.6740569100863327,21
4218,basil,1.6675630698798483,8
4516,rock,1.6674143575138796,8
6001,jennings,1.6672401710026268,8
7382,twice,1.666879119357286,8
5826,falling,1.6668663780037718,8
1884,station,1.666738970642897,8
2945,spoken,1.666603081834483,8
231,situation,1.6665606192025966,8
6558,de,1.666378044110675,8
3912,spent,1.666208227546083,8
4829,mentioned,1.6660596544499253,8
672,floor,1.6660172078058342,8
5480,joy,1.6659408069965982,8
4145,master,1.6640448216616706,8
3030,under,1.61212595662527,33
6470,moment,1.6120418296931003,33
1647,before,1.5988928061084855,94
3816,unconcerned,1.5894034440043345,5
4295,introducing,1.5893416880162277,5
2092,hatter,1.589166702360766,5
3012,_her_,1.5891409678895532,5
7264,blown,1.589027732313725,5
1097,axe,1.588950522603739,5
2990,bet,1.588950522603739,5
323,bodies,1.588914490400067,5
1413,wopsle,1.5888836051456963,5
3581,charlotte,1.5888166854876695,5
4002,holy,1.5887960943819914,5
3219,disappointed,1.5887394677718036,5
769,shone,1.588631358080032,5
6422,directed,1.5886159133739606,5
5076,exhausted,1.5886159133739606,5
1736,deserted,1.5885798752759583,5
2876,pure,1.588559281794209,5
4184,delay,1.5885541333916529,5
7293,longed,1.5884460139756116,5
254,brain,1.588415121677202,5
5030,clean,1.5883842289191261,5
5068,field,1.5883842289191261,5
3131,immense,1.5883481867878568,5
597,foolish,1.5882555041590445,5
826,events,1.5881885641481521,5
6850,resolution,1.5881164725152297,5
2220,reality,1.5881061735085826,5
1725,path,1.588080425771421,5
2839,south,1.5880546777194724,5
658,curiosity,1.588049528071337,5
6917,upstairs,1.5880443784106262,5
4597,effort,1.5879207827880417,5
757,reach,1.5879156328138313,5
6099,war,1.5878898827552543,5
4656,forest,1.5878692824835363,5
6768,baby,1.5878692824835363,5
2521,lower,1.5878383817015977,5
1237,drove,1.58782808134121,5
6008,hung,1.587807480470948,5
5162,quick,1.5877611277849202,5
4189,breakfast,1.5876632688121204,5
4306,watching,1.5876117622944323,5
3092,raymond,1.5875551036991917,5
3720,difficult,1.587544801976212,5
5225,countenance,1.5874932926231227,5
2382,kitchen,1.5874881416202125,5
2388,fallen,1.5874314797782476,5
5502,anxious,1.5873954214704085,5
3681,laughing,1.5873954214704085,5
2111,passepartout,1.5873130002318065,5
2522,exactly,1.5873078488006713,5
6348,clothes,1.587204817622345,5
5075,months,1.5864989246885366,5
2713,form,1.5864886180298754,5
7218,beneath,1.586267013523694,5
3474,usual,1.5857825010509443,5
5047,thought,1.583000145699165,59
4535,filled,1.5745278113674674,13
6763,entered,1.5735621819805408,13
3857,four,1.5729258968645397,13
3753,reason,1.5727676331284552,13
6588,keep,1.5720870762658097,13
5993,an,1.568269981788273,151
4542,suddenly,1.5600005691120313,23
6493,between,1.55870565940928,23
7365,came,1.533823495748005,54
1562,other,1.5327183027570217,75
5940,first,1.4772487658641258,63
5758,their,1.4537846352546473,134
920,something,1.4526849022032207,25
3868,listened,1.4470638440547463,10
7320,tom,1.446840839272014,10
2372,bright,1.4467398073312927,10
2295,beauty,1.4464123977836933,10
4413,drew,1.4463915031048187,10
5947,expression,1.4460607314874176,10
2758,six,1.445991109928798,10
2094,late,1.4456639564734775,10
4330,become,1.4454621516539796,10
2900,standing,1.4453403934889857,10
4464,walked,1.445267346033341,10
2499,year,1.4451699581087045,10
1656,round,1.4251630917020817,20
1852,father,1.4250870340717414,20
3419,terrible,1.4175099649343699,15
626,wild,1.4173109056579452,15
6920,ran,1.4170302517222857,15
4550,tried,1.4166655252087066,15
5346,open,1.4153633422995506,15
6463,margaret,1.415121449760478,15
599,almost,1.414116344930304,15
7471,captain,1.406004260359684,32
7070,there,1.3756881754482806,201
1588,old,1.3202744300894784,62
6636,days,1.3159995010013945,22
4032,stir,1.3128631697827189,7
3713,command,1.3125914228219584,7
4951,félicité,1.3123887448621867,7
5577,possessed,1.3123801212897264,7
6268,weeks,1.3122938901513919,7
2347,melancholy,1.3121731805659649,7
2870,ned,1.3121085214388517,7
6027,frightened,1.311970597641119,7
1546,settled,1.3119490489755232,7
3510,laughed,1.3118887154835739,7
2255,rising,1.3118628595230948,7
7073,single,1.311699122527265,7
4767,mere,1.3116258815070392,7
259,reached,1.3112296227955007,7
3425,loved,1.3111004461166298,7
6028,attention,1.3109067162417385,7
2480,carried,1.3105150802286172,7
5065,boat,1.309891400967615,7
6196,thinking,1.3096248578416612,7
7315,gentleman,1.3080916405425933,7
5123,breath,1.2678462038137752,12
991,merely,1.2676635791707742,12
